"MONTH","YEAR","STATISTIC","AREA","DATA_VALUE","INDICATOR_NAME","INDICATOR_UNITS"
1,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.48386280015078,"bottomT","degC"
2,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.09277966366082,"bottomT","degC"
3,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.02624435722935,"bottomT","degC"
4,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.23133473787795,"bottomT","degC"
5,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.27038676732354,"bottomT","degC"
6,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.38298062611182,"bottomT","degC"
7,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.47296296114582,"bottomT","degC"
8,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.57209397500302,"bottomT","degC"
9,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.71281344534328,"bottomT","degC"
10,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.86431740259938,"bottomT","degC"
11,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.86482001197129,"bottomT","degC"
12,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.62257352620499,"bottomT","degC"
